Natronlauge (ml),pH
0,2.68
1.2,3.25
2,3.49
4,3.84
6,4.08
8.1,4.27
10.2,4.45
12.1,4.6
14,4.81
16,5.05
18,5.43
18.5,5.61
19,5.84
19.5,6.4
20,8.68
20.5,10.09
21.2,10.59
21.5,10.69
22,10.8
22.5,10.82
23,10.85
24.5,11
25,11.03
28,11.14
30,11.18
